,latt dis(average displacement),elastic mismatch,RMS SRO,mixing energy,binding energy,G_aver,screw,edge,divide,Screw/G,edge/G
MoNbTaV_r,0.089,0.61,0,-0.087,-15.678,58.727,1325.9,940.2,1.41,22.577,16.01
MoNbTaW_r,0.044,0.624,0,-0.108,-17.216,91.819,1943.5,751,2.588,21.167,8.179
MoNbVW_r,0.058,0.811,0,-0.067,-16.111,83.594,1719.8,1005.6,1.71,20.573,12.03
MoTaVW_r,0.06,0.62,0,-0.119,-16.742,91.955,1696.2,953.7,1.779,18.446,10.371
NbTaVW_r,0.08,0.7,0,-0.025,-16.375,65.62,1425.8,1099.8,1.296,21.728,16.76
qui_r,0.066,0.715,0,-0.087,-17.55,78.343,1717.7,1058.4,1.623,21.926,13.51
MoNbTaV,0.111,0.734,0.366,-0.131,-17.782,58.727,1663.4,1103.3,1.508,28.325,18.787
MoNbTaW,0.034,0.857,0.532,-0.183,-19.839,91.819,2343.2,749.6,3.126,25.52,8.164
MoNbVW,0.112,0.988,0.413,-0.108,-17.695,83.594,1457.7,1197.7,1.217,17.437,14.328
MoTaVW,0.073,0.795,0.496,-0.186,-19.663,91.955,2004.7,1097.8,1.826,21.801,11.939
NbTaVW,0.127,0.741,0.27,-0.037,-17.574,65.62,1911.2,1291,1.48,29.126,19.674
qui,0.103,0.891,0.487,-0.139,-19.275,78.343,2019.9,1116.2,1.81,25.782,14.247
V50,0.072,0.883,0.478,-0.159,-19.703,84.333,2070.4,918.3,2.255,24.551,10.89
V80,0.098,0.887,0.471,-0.146,-19.387,80.589,2036.6,1026.7,1.984,25.271,12.739
V120,0.123,0.891,0.468,-0.132,-19.024,76.27,1839.1,1237.7,1.486,24.113,16.228
V150,0.141,0.892,0.44,-0.122,-18.77,73.443,1916.4,1331.5,1.439,26.094,18.13
V50r,0.055,0.681,0,-0.097,-17.642,84.333,1811.4,988.5,1.832,21.479,11.722
